x, y, z, pressure, velmag, vx, vy, vz
0.00000, 0.00000, 0.0, 0.00000, 0.00000, 0.00000, 0.00000, 0.0
0.00000, 0.01613, 0.0, 0.00319, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.04839, 0.0, -0.00223, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.08065, 0.0, -0.00265, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.11290, 0.0, -0.00297, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.14516, 0.0, -0.00351, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.17742, 0.0, -0.00399, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.20968, 0.0, -0.00438, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.24194, 0.0, -0.00470, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.27419, 0.0, -0.00497, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.30645, 0.0, -0.00520, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.33871, 0.0, -0.00538, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.37097, 0.0, -0.00552, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.40323, 0.0, -0.00563, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.43548, 0.0, -0.00571, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.46774, 0.0, -0.00575, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.50000, 0.0, -0.00577, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.53226, 0.0, -0.00575, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.56452, 0.0, -0.00571, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.59677, 0.0, -0.00563, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.62903, 0.0, -0.00552, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.66129, 0.0, -0.00538, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.69355, 0.0, -0.00520, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.72581, 0.0, -0.00497, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.75806, 0.0, -0.00470, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.79032, 0.0, -0.00438, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.82258, 0.0, -0.00399, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.85484, 0.0, -0.00351, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.88710, 0.0, -0.00297, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.91935, 0.0, -0.00265, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.95161, 0.0, -0.00223, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 0.98387, 0.0, 0.00319, 1.00000, 1.00000, 0.00000, 0.0
0.00000, 1.00000, 0.0, 0.00000, 0.00000, 0.00000, 0.00000, 0.0
0.12195, 0.00000, 0.0, 0.00187, 0.00000, 0.00000, 0.00000, 0.0
0.12195, 0.01613, 0.0, 0.00000, 0.98373, 0.98372, -0.00501, 0.0
0.12195, 0.04839, 0.0, -0.00375, 1.00033, 1.00031, 0.00698, 0.0
0.12195, 0.08065, 0.0, -0.00390, 1.00182, 1.00182, 0.00357, 0.0
0.12195, 0.11290, 0.0, -0.00410, 1.00199, 1.00199, 0.00280, 0.0
0.12195, 0.14516, 0.0, -0.00448, 1.00184, 1.00183, 0.00254, 0.0
0.12195, 0.17742, 0.0, -0.00482, 1.00161, 1.00161, 0.00222, 0.0
