x, y, z, k, eps, mut
0.00000, 0.00000, 0.0, 0.00000, 0.00000, 0.00000
0.00000, 0.01613, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.04839, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.08065, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.11290, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.14516, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.17742, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.20968, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.24194, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.27419, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.30645, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.33871, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.37097, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.40323, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.43548, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.46774, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.50000, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.53226, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.56452, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.59677, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.62903, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.66129, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.69355, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.72581, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.75806, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.79032, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.82258, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.85484, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.88710, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.91935, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.95161, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 0.98387, 0.0, 0.00667, 0.00128, 0.00313
0.00000, 1.00000, 0.0, 0.00000, 0.00000, 0.00000
0.12195, 0.00000, 0.0, 0.00000, 0.00000, 0.00000
0.12195, 0.01613, 0.0, 0.00817, 0.01836, 0.00033
0.12195, 0.04839, 0.0, 0.00639, 0.00277, 0.00132
0.12195, 0.08065, 0.0, 0.00635, 0.00149, 0.00243
0.12195, 0.11290, 0.0, 0.00636, 0.00125, 0.00291
0.12195, 0.14516, 0.0, 0.00637, 0.00120, 0.00305
0.12195, 0.17742, 0.0, 0.00638, 0.00118, 0.00310
0.12195, 0.20968, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.24194, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.27419, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.30645, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.33871, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.37097, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.40323, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.43548, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.46774, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.50000, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.53226, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.56452, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.59677, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.62903, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.66129, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.69355, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.72581, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.75806, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.79032, 0.0, 0.00638, 0.00118, 0.00311
0.12195, 0.82258, 0.0, 0.00638, 0.00118, 0.00310
0.12195, 0.85484, 0.0, 0.00637, 0.00120, 0.00305
0.12195, 0.88710, 0.0, 0.00636, 0.00125, 0.00291
0.12195, 0.91935, 0.0, 0.00635, 0.00149, 0.00243
0.12195, 0.95161, 0.0, 0.00639, 0.00277, 0.00132
0.12195, 0.98387, 0.0, 0.00817, 0.01836, 0.00033
0.12195, 1.00000, 0.0, 0.00000, 0.00000, 0.00000
0.36585, 0.00000, 0.0, 0.00000, 0.00000, 0.00000
0.36585, 0.01613, 0.0, 0.00931, 0.02232, 0.00035
0.36585, 0.04839, 0.0, 0.00608, 0.00372, 0.00089
0.36585, 0.08065, 0.0, 0.00600, 0.00168, 0.00193
0.36585, 0.11290, 0.0, 0.00605, 0.00126, 0.00262
0.36585, 0.14516, 0.0, 0.00609, 0.00114, 0.00293
0.36585, 0.17742, 0.0, 0.00610, 0.00110, 0.00304
0.36585, 0.20968, 0.0, 0.00611, 0.00109, 0.00308
0.36585, 0.24194, 0.0, 0.00612, 0.00109, 0.00309
0.36585, 0.27419, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.30645, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.33871, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.37097, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.40323, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.43548, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.46774, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.50000, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.53226, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.56452, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.59677, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.62903, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.66129, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.69355, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.72581, 0.0, 0.00612, 0.00109, 0.00310
0.36585, 0.75806, 0.0, 0.00612, 0.00109, 0.00309
0.36585, 0.79032, 0.0, 0.00611, 0.00109, 0.00308
0.36585, 0.82258, 0.0, 0.00610, 0.00110, 0.00304
0.36585, 0.85484, 0.0, 0.00609, 0.00114, 0.00293
0.36585, 0.88710, 0.0, 0.00605, 0.00126, 0.00262
0.36585, 0.91935, 0.0, 0.00600, 0.00168, 0.00193
0.36585, 0.95161, 0.0, 0.00608, 0.00372, 0.00089
0.36585, 0.98387, 0.0, 0.00931, 0.02232, 0.00035
0.36585, 1.00000, 0.0, 0.00000, 0.00000, 0.00000
0.60976, 0.00000, 0.0, 0.00000, 0.00000, 0.00000
0.60976, 0.01613, 0.0, 0.01006, 0.02508, 0.00036
0.60976, 0.04839, 0.0, 0.00577, 0.00432, 0.00069
0.60976, 0.08065, 0.0, 0.00565, 0.00181, 0.00159
0.60976, 0.11290, 0.0, 0.00574, 0.00126, 0.00235
0.60976, 0.14516, 0.0, 0.00580, 0.00109, 0.00277
0.60976, 0.17742, 0.0, 0.00584, 0.00104, 0.00296
0.60976, 0.20968, 0.0, 0.00586, 0.00102, 0.00304
0.60976, 0.24194, 0.0, 0.00587, 0.00101, 0.00307
0.60976, 0.27419, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.30645, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.33871, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.37097, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.40323, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.43548, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.46774, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.50000, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.53226, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.56452, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.59677, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.62903, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.66129, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.69355, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.72581, 0.0, 0.00587, 0.00101, 0.00308
0.60976, 0.75806, 0.0, 0.00587, 0.00101, 0.00307
0.60976, 0.79032, 0.0, 0.00586, 0.00102, 0.00304
0.60976, 0.82258, 0.0, 0.00584, 0.00104, 0.00296
0.60976, 0.85484, 0.0, 0.00580, 0.00109, 0.00277
0.60976, 0.88710, 0.0, 0.00574, 0.00126, 0.00235
0.60976, 0.91935, 0.0, 0.00565, 0.00181, 0.00159
0.60976, 0.95161, 0.0, 0.00577, 0.00432, 0.00069
0.60976, 0.98387, 0.0, 0.01006, 0.02508, 0.00036
0.60976, 1.00000, 0.0, 0.00000, 0.00000, 0.00000
0.85366, 0.00000, 0.0, 0.00000, 0.00000, 0.00000
0.85366, 0.01613, 0.0, 0.01050, 0.02673, 0.00037
0.85366, 0.04839, 0.0, 0.00550, 0.00468, 0.00058
0.85366, 0.08065, 0.0, 0.00531, 0.00188, 0.00135
0.85366, 0.11290, 0.0, 0.00544, 0.00125, 0.00212
0.85366, 0.14516, 0.0, 0.00553, 0.00105, 0.00261
0.85366, 0.17742, 0.0, 0.00559, 0.00098, 0.00286
0.85366, 0.20968, 0.0, 0.00562, 0.00095, 0.00298
0.85366, 0.24194, 0.0, 0.00563, 0.00094, 0.00303
0.85366, 0.27419, 0.0, 0.00564, 0.00094, 0.00306
0.85366, 0.30645, 0.0, 0.00565, 0.00094, 0.00307
0.85366, 0.33871, 0.0, 0.00565, 0.00094, 0.00307
0.85366, 0.37097, 0.0, 0.00565, 0.00094, 0.00307
0.85366, 0.40323, 0.0, 0.00565, 0.00094, 0.00307
0.85366, 0.43548, 0.0, 0.00565, 0.00094, 0.00307
0.85366, 0.46774, 0.0, 0.00565, 0.00094, 0.00307
0.85366, 0.50000, 0.0, 0.00565, 0.00094, 0.00307
0.85366, 0.53226, 0.0, 0.00565, 0.00094, 0.00307
0.85366, 0.56452, 0.0, 0.00565, 0.00094, 0.00307
0.85366, 0.59677, 0.0, 0.00565, 0.00094, 0.00307
0.85366, 0.62903, 0.0, 0.00565, 0.00094, 0.00307
0.85366, 0.66129, 0.0, 0.00565, 0.00094, 0.00307
0.85366, 0.69355, 0.0, 0.00565, 0.00094, 0.00307
0.85366, 0.72581, 0.0, 0.00564, 0.00094, 0.00306
0.85366, 0.75806, 0.0, 0.00563, 0.00094, 0.00303
0.85366, 0.79032, 0.0, 0.00562, 0.00095, 0.00298
0.85366, 0.82258, 0.0, 0.00559, 0.00098, 0.00286
0.85366, 0.85484, 0.0, 0.00553, 0.00105, 0.00261
0.85366, 0.88710, 0.0, 0.00544, 0.00125, 0.00212
0.85366, 0.91935, 0.0, 0.00531, 0.00188, 0.00135
0.85366, 0.95161, 0.0, 0.00550, 0.00468, 0.00058
0.85366, 0.98387, 0.0, 0.01050, 0.02673, 0.00037
0.85366, 1.00000, 0.0, 0.00000, 0.00000, 0.00000
1.09756, 0.00000, 0.0, 0.00000, 0.00000, 0.00000
1.09756, 0.01613, 0.0, 0.01069, 0.02747, 0.00037
1.09756, 0.04839, 0.0, 0.00527, 0.00488, 0.00051
1.09756, 0.08065, 0.0, 0.00500, 0.00191, 0.00118
1.09756, 0.11290, 0.0, 0.00515, 0.00124, 0.00193
1.09756, 0.14516, 0.0, 0.00527, 0.00102, 0.00246
1.09756, 0.17742, 0.0, 0.00534, 0.00093, 0.00276
1.09756, 0.20968, 0.0, 0.00539, 0.00089, 0.00292
1.09756, 0.24194, 0.0, 0.00541, 0.00088, 0.00300
1.09756, 0.27419, 0.0, 0.00543, 0.00087, 0.00303
1.09756, 0.30645, 0.0, 0.00543, 0.00087, 0.00305
1.09756, 0.33871, 0.0, 0.00544, 0.00087, 0.00305
1.09756, 0.37097, 0.0, 0.00544, 0.00087, 0.00306
1.09756, 0.40323, 0.0, 0.00544, 0.00087, 0.00306
1.09756, 0.43548, 0.0, 0.00544, 0.00087, 0.00306
1.09756, 0.46774, 0.0, 0.00544, 0.00087, 0.00306
1.09756, 0.50000, 0.0, 0.00544, 0.00087, 0.00306
1.09756, 0.53226, 0.0, 0.00544, 0.00087, 0.00306
1.09756, 0.56452, 0.0, 0.00544, 0.00087, 0.00306
1.09756, 0.59677, 0.0, 0.00544, 0.00087, 0.00306
1.09756, 0.62903, 0.0, 0.00544, 0.00087, 0.00306
1.09756, 0.66129, 0.0, 0.00544, 0.00087, 0.00305
1.09756, 0.69355, 0.0, 0.00543, 0.00087, 0.00305
1.09756, 0.72581, 0.0, 0.00543, 0.00087, 0.00303
1.09756, 0.75806, 0.0, 0.00541, 0.00088, 0.00300
1.09756, 0.79032, 0.0, 0.00539, 0.00089, 0.00292
1.09756, 0.82258, 0.0, 0.00534, 0.00093, 0.00276
1.09756, 0.85484, 0.0, 0.00527, 0.00102, 0.00246
1.09756, 0.88710, 0.0, 0.00515, 0.00124, 0.00193
1.09756, 0.91935, 0.0, 0.00500, 0.00191, 0.00118
